@relation features

@attribute dataset0 numeric
@attribute dataset1 numeric
@attribute dataset2 numeric
@attribute dataset3 numeric
@attribute dataset4 numeric
@attribute dataset5 numeric
@attribute dataset6 numeric
@attribute dataset7 numeric
@attribute dataset8 numeric
@attribute target numeric

@data
115.230861,43.649725,-48.895616,27.419172,-35.73399,-57.664611,72.639865,54.701971,23220,9
266.13793,-163.117729,-5.862456,-85.713151,-23.510606,-186.821791,-221.790283,86.424525,20520,14
129.376938,122.781402,-44.027071,-150.051825,299.816728,-138.551538,139.246235,-815.287021,119970,12
-19.008972,-37.46023,-21.748689,39.42385,-27.422676,-48.877669,-109.872659,-13.302834,69360,13
-62265,19710,38637,61791,-57360,-91491,35379,27258,9075,14
-128.752495,7.978353,237.551749,-55.898641,121.015841,407.91213,106.002948,-284.211775,16072,9
-456.060775,-65.736086,392.739297,265.937595,-238.115624,-1067.626284,-40.275558,-223.361161,111412,2
7743,-10431,-3411,-23472,-7608,4086,-13176,6150,45662,2
10533,-16086,-3372,-25071,-9012,4221,-12225,5958,45662,1
12819,-10254,-5310,-25584,-13449,8028,-13230,1767,45662,3
4.073714,-68.090599,-44.823165,-106.982061,-149.060415,17.299961,-38.075185,-92.206797,30200,3
-257.970514,18.016732,-377.899992,-62.14384,50.257087,-318.466315,-227.781319,-299.833649,92448,3
193.721161,-298.831939,140.800734,138.646517,-23.923755,-1.912337,-145.728327,39.239408,74504,5
64.758169,17.890674,-145.342431,-29.67292,23.694123,12.028134,-112.822932,42.389827,27180,9
6.139363,11.265329,-9.528091,-11.438412,-0.626056,13.782314,-11.534623,3.161795,26085,5
